simulation,annual_revenue_gbp,npv_gbp
290,1344894.0221319445,-27047886.967968415
291,1529675.317254243,-25466255.41044167
292,1465319.426782161,-26017108.28337998
293,1490378.897299038,-25802612.27956005
294,1514342.2351284525,-25597498.600117598
295,1455771.4010490587,-26098834.40615424
296,1451821.4859085493,-26132643.62061855
297,1435169.244522328,-26275178.125870116
298,1488158.6018443822,-25821616.851185076
299,1385630.9785734464,-26699199.857496396
300,1540951.5276553615,-25369736.927832723
301,1506220.327309107,-25667017.89700259
302,1544235.687860827,-25341626.228546303
303,1505126.7191028744,-25676378.613136776
304,1453638.9006037582,-26117087.498267785
305,1428916.8264632476,-26328695.56499482
306,1479628.3221146257,-25894631.598733976
307,1463694.7308481026,-26031014.83360191
308,1487660.9104772315,-25825876.82983537
309,1523823.8268805984,-25516341.117587484
310,1383720.0736492295,-26715556.207469884
311,1615761.2721365872,-24729404.514296453
312,1487217.7309074504,-25829670.215917833
313,1463640.8265221848,-26031476.226530794
314,1483757.4217418965,-25859288.658474028
315,1421432.8497505551,-26392754.50416805
316,1487777.3117506865,-25824880.49561598
317,1481526.6810508627,-25878382.63587722
318,1478854.7530815215,-25901252.94638647
319,1478522.7925789836,-25904094.35523318
320,1520014.7564538824,-25548944.774725772
321,1436384.4597351763,-26264776.517154496
322,1531620.4833885417,-25449605.802370664
323,1450368.1635546112,-26145083.30233377
324,1428986.2988141368,-26328100.917887982
325,1434344.671533049,-26282236.04079849
326,1434741.4739952725,-26278839.618579768
327,1460441.318392591,-26058862.3481779
328,1486645.8610267784,-25834565.123973712
329,1551860.264249434,-25276363.829443555
330,1481387.1779985146,-25879576.709280696
331,1506250.5728982126,-25666759.010527235
332,1553060.4079199564,-25266091.22527327
333,1501986.2947833322,-25703259.008170944
334,1478167.0179790496,-25907139.60033902
335,1435310.0994611199,-26273972.48102344
336,1451583.034636271,-26134684.639201723
337,1482437.1370147304,-25870589.607458204
338,1465859.8543267518,-26012482.505329683
339,1584439.9644777686,-24997498.579680096
340,1403314.499561477,-26547838.13647185
341,1414327.9586960038,-26453568.66772952
342,1458566.8573887318,-26074906.75719178
343,1433999.8485266056,-26285187.54597325
344,1466299.418588311,-26008720.064400896
345,1561987.2207763663,-25189682.360877723
346,1447394.1874531636,-26170538.98739251
347,1364189.547337414,-26882727.331199855
348,1441956.3704080188,-26217083.86649927
349,1500578.7155809442,-25715307.15235535
350,1462834.979812807,-26038373.854265448
351,1527818.8874766682,-25482145.481558453
352,1558985.9064698487,-25215372.04672013
353,1537327.2082559443,-25400759.21249027
354,1477741.938732111,-25910778.057093874
355,1618781.3681017018,-24703554.067247562
356,1527481.0886409532,-25485036.86349356
357,1489648.9558600585,-25808860.19775043
358,1420049.7088022674,-26404593.469637316
359,1506466.6579422303,-25664909.435198184
360,1575803.0361087052,-25071426.183984242
361,1469025.2260245453,-25985388.573743057
362,1564342.233800521,-25169524.67708768
363,1499448.5500018166,-25724980.780543722
364,1549737.7299772669,-25294531.616310563
365,1515778.994029034,-25585200.69292838
366,1402389.2153118607,-26555758.087286714
367,1555051.4553869935,-25249048.896912515
368,1557105.154389269,-25231470.30407112
369,1508248.30590196,-25649659.45745749
370,1445300.6200273782,-26188458.83315526
371,1469055.2293551737,-25985131.760873977
372,1454877.1680314702,-26106488.57461033
373,1526812.3690079309,-25490760.754940614
374,1338714.5091261251,-27100780.37784349
375,1545190.4660045695,-25333453.82537324
376,1480026.7631049424,-25891221.151568964
377,1411835.4478585315,-26474903.26112229
378,1503699.9887545127,-25688590.681146998
379,1530093.0557002607,-25462679.787115853
380,1459775.1042640684,-26064564.79381258
381,1419782.6409281807,-26406879.431413792
382,1497288.8545758377,-25743466.6475148
383,1477873.9100877813,-25909648.451087594
384,1428230.7479986441,-26334568.038990837
385,1561701.541850518,-25192127.62355511
386,1498655.041780016,-25731772.79725692
387,1388089.6152010916,-26678155.20968071
388,1501516.9875047675,-25707276.033819906
389,1454261.0983616516,-26111761.80981942
390,1480469.2029956898,-25887434.096753426
391,1371472.2879642446,-26820390.8680148
392,1659565.2860440235,-24354464.990810122
393,1464283.0544743682,-26025979.09006129
394,1525786.2937362662,-25499543.424360637
395,1540750.2638268583,-25371459.641283445
396,1422284.323889618,-26385466.32942142
397,1448887.7365908362,-26157754.985379234
398,1471448.0903360683,-25964650.118304837
399,1432527.8347875038,-26297787.216201425
400,1548066.1843128398,-25308839.17580112
401,1535820.0641023389,-25413659.58075269
402,1492126.0815068493,-25787657.29356941
403,1444085.4240005224,-26198860.277648784
404,1552297.059538114,-25272625.08947911
405,1547265.5561906658,-25315692.135149825
406,1397349.2803642934,-26598897.303058952
407,1477860.1614161434,-25909766.132549465
408,1517911.3962970336,-25566948.441161353
409,1536876.6744168778,-25404615.54728395
410,1452667.143318729,-26125405.23403883
411,1420845.7288459977,-26397779.953037843
412,1459844.6308552236,-26063969.682437345
413,1432149.6545738487,-26301024.2416804
414,1458958.5081504516,-26071554.43084373
415,1457321.902934523,-26085562.918310016
416,1506256.6461975765,-25666707.026250765
417,1516807.1248937973,-25576400.42870304
418,1395635.0098146452,-26613570.565294005
419,1400112.3646345828,-26575246.742134463
420,1421751.1687966208,-26390029.85907729
421,1462678.7388791335,-26039711.19520741
422,1475877.2772870925,-25926738.586992703
423,1466084.377701794,-26010560.702286072
424,1482347.4637743072,-25871357.163648482
425,1382878.9596166983,-26722755.70510545
426,1441662.2004036931,-26219601.808381923
427,1472483.6222290187,-25955786.50513646
428,1444210.5637198738,-26197789.14688798
429,1576589.8945832157,-25064691.085641254
430,1559232.8044241928,-25213258.728941828
431,1449103.4681470073,-26155908.435721874
432,1412558.6822807947,-26468712.75149855
433,1464530.4686799676,-26023861.35344137
434,1581560.5711122735,-25022144.68582621
435,1507319.1404835442,-25657612.62905398
436,1452173.4538435193,-26129630.958580337
437,1578786.3474860403,-25045890.593830492
438,1401567.0359174416,-26562795.514290895
439,1442887.6362486538,-26209112.71638356
440,1515727.3061541505,-25585643.11419187
441,1364594.095733771,-26879264.607823
442,1529622.118322996,-25466710.765559897
443,1479695.6611962207,-25894055.2113002
444,1407819.6948691686,-26509276.013250716
445,1530327.9801220521,-25460668.956534255
446,1400632.1443618122,-26570797.69863683
447,1476704.3189748018,-25919659.54129273
448,1566196.2666770713,-25153655.122194134
449,1493693.4012936137,-25774241.853257433
450,1474398.5391456792,-25939395.814599156
451,1488934.9340632763,-25814971.852102704
452,1522952.3193185618,-25523800.767991103
453,1549800.911308794,-25293990.817049883
454,1481337.3330380677,-25880003.356157344
455,1505236.195762668,-25675441.550000448
456,1481166.847840231,-25881462.620574832
457,1458988.1709172847,-26071300.533023197
458,1442101.8775170324,-26215838.401500728
459,1442051.313622729,-26216271.202076398
460,1431372.0810309136,-26307679.86584945
461,1507188.1272511482,-25658734.03402451
462,1531839.4104493447,-25447731.90085951
463,1593888.0332965693,-24916628.03598351
464,1572907.9459393548,-25096206.646588422
465,1410028.4229289836,-26490370.452495307
466,1474143.4427847965,-25941579.3064635
467,1519043.5959712411,-25557257.402179495
468,1420435.3139200034,-26401292.890850097
469,1511660.8090665431,-25620450.209347762
470,1439972.0961286859,-26234068.21990422
471,1564557.0760320174,-25167685.73958592
472,1555979.3989956647,-25241106.183370497
473,1530081.0198952146,-25462782.80733264
474,1444182.0213973722,-26198033.45428914
475,1482880.6259441418,-25866793.573418573
476,1507180.5542850178,-25658798.85466671
477,1489917.119169227,-25806564.859620716
478,1522416.5591371336,-25528386.595845878
479,1455282.5618549623,-26103018.614817932
480,1466259.0987333017,-26009065.181340545
481,1394328.7915424511,-26624751.11275663
482,1500344.8118682688,-25717309.246199027
483,1529288.5958465345,-25469565.544089116
484,1441588.7519010063,-26220230.489275333
485,1499147.9167150662,-25727554.044754546
486,1436552.8197210918,-26263335.443443153
487,1410886.6695803825,-26483024.30857367
488,1483614.3856022097,-25860512.973263282
489,1505952.4453252007,-25669310.827134714
490,1410177.9296884048,-26489090.75257434
491,1533139.9375120641,-25436600.067183092
492,1441271.6414784007,-26222944.789179344
493,1484584.9807608465,-25852205.184688326
494,1563111.5118915187,-25180059.01503855
495,1414276.1435863501,-26454012.17805631
496,1442660.8035989343,-26211054.28561456
497,1510247.132146727,-25632550.54681454
498,1463414.728279095,-26033411.5096239
499,1400679.107375597,-26570395.719721217
500,1502005.65528347,-25703093.292382628
