label,json_file,FieldName,cycle,time_days,RF
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,3,488.53832565291356,0.839332333332408
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,4,596.4079279256442,0.8297805109289371
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,5,704.2775301983748,0.8237773529560602
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,6,812.6380415620146,0.8187952425686641
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,7,920.5076438347454,0.8162737218203472
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,8,1028.3772461074761,0.8144955882187145
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,9,1136.246848380207,0.8132378780836481
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,10,1244.6073597438467,0.811751697444754
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,11,1352.4769620165775,0.8112251312613619
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,12,1460.4897461074902,0.8110046712788442
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,13,1568.3593483802156,0.8107665605670644
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,14,1676.3721324710903,0.8105194656649706
H2-290403-108-115-247-360-20-3.04,H2-290403-108-115-247-360-20-3.04.json,,15,1783.750825652874,0.8104384239788994
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,1,290.8514041237019,0.8097049949627849
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,2,440.64716446145525,0.7837462983885864
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,3,590.290719148962,0.7741122568317335
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,4,740.4172283819235,0.7687274078205916
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,5,890.5437376148847,0.7661460316482139
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,6,1040.8691104842098,0.7652099925043693
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,7,1190.541074262626,0.7657939535661319
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,8,1340.6675834955875,0.7656359200806451
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,9,1490.794092728549,0.7658375813163537
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,10,1640.9206019615103,0.7662537847428178
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,11,1790.365293012653,0.7673151554980128
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,12,1940.4918022456138,0.7678792030235063
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,13,2090.6183114785745,0.7685200347456548
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,14,2240.6248033997454,0.7692758066044845
H2-371506-150-96-315-351-14-1.87,H2-371506-150-96-315-351-14-1.87.json,,15,2390.069494450888,0.7697220755165378
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,1,46.26877805836163,0.9600603535272692
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,2,63.26877805836094,0.9347357275814449
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,3,80.26877805836007,0.9175002426935978
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,4,97.2687780583592,0.9054177060765329
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,5,114.26877805835835,0.8966439624205028
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,6,131.2687780583575,0.8900763444854068
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,7,148.26877805835662,0.8850363294548578
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,8,165.26877805835576,0.881089612149338
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,9,182.2687780583549,0.8779476015358911
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,10,199.26877805835403,0.8754120936311134
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,11,216.26877805835318,0.8733430138633943
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,12,233.26877805835232,0.8716388924956936
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,13,250.26877805835144,0.8702246324824033
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,14,267.26877805835056,0.8690436054349443
H2-438755-17-75-442-402-13-3.44,H2-438755-17-75-442-402-13-3.44.json,,15,284.191505331077,0.8678918424393395
H2-495964-20-54-158-319-15-2.38,H2-495964-20-54-158-319-15-2.38.json,,1,43.85144851290665,0.9694217770697751
